0,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
109,Carmelo Anthony,2009-10,25,DEN,NBA,SF,69,69,38.2,10,21.8,0.458,0.9,2.7,0.316,9.1,19.1,0.478,0.478,7.4,8.9,0.83,2.2,4.4,6.6,3.2,1.3,0.4,3,3.3,28.2
110,Carmelo Anthony,2010-11,26,TOT,NBA,SF,77,77,35.7,8.9,19.5,0.455,1.2,3.3,0.378,7.6,16.3,0.47,0.487,6.6,7.9,0.838,1.5,5.8,7.3,2.9,0.9,0.6,2.7,2.9,25.6
111,Carmelo Anthony,2010-11,26,DEN,NBA,SF,50,50,35.5,8.7,19.3,0.452,0.8,2.5,0.333,7.9,16.8,0.47,0.474,6.9,8.3,0.823,1.5,6.1,7.6,2.8,0.9,0.6,2.8,2.7,25.2
112,Carmelo Anthony,2010-11,26,NYK,NBA,SF,27,27,36.2,9.1,19.9,0.461,2,4.6,0.424,7.2,15.2,0.472,0.51,6.1,7,0.872,1.5,5.2,6.7,3,0.9,0.6,2.4,3.3,26.3
113,Carmelo Anthony,2011-12,27,NYK,NBA,SF,55,55,34.1,8,18.6,0.43,1.2,3.7,0.335,6.8,14.9,0.454,0.463,5.4,6.7,0.804,1.6,4.7,6.3,3.6,1.1,0.4,2.6,2.8,22.6
114,Carmelo Anthony,2012-13,28,NYK,NBA,PF,67,67,37,10,22.2,0.449,2.3,6.2,0.379,7.6,16,0.476,0.502,6.3,7.6,0.83,2,4.9,6.9,2.6,0.8,0.5,2.6,3.1,28.7
115,Carmelo Anthony,2013-14,29,NYK,NBA,PF,77,77,38.7,9.6,21.3,0.452,2.2,5.4,0.402,7.5,15.9,0.469,0.503,6,7,0.848,1.9,6.2,8.1,3.1,1.2,0.7,2.6,2.9,27.4
116,Carmelo Anthony,2014-15,30,NYK,NBA,SF,40,40,35.7,9,20.2,0.444,1.5,4.5,0.341,7.4,15.7,0.474,0.482,4.7,5.9,0.797,1.8,4.8,6.6,3.1,1,0.4,2.2,2.2,24.2
117,Carmelo Anthony,2015-16,31,NYK,NBA,SF,72,72,35.1,7.9,18.2,0.434,1.5,4.3,0.339,6.4,13.8,0.463,0.474,4.6,5.6,0.829,1.4,6.4,7.7,4.2,0.9,0.5,2.4,2.5,21.8
118,Carmelo Anthony,2016-17,32,NYK,NBA,SF,74,74,34.3,8.1,18.8,0.433,2,5.7,0.359,6.1,13.1,0.466,0.488,4.1,4.9,0.833,0.8,5.1,5.9,2.9,0.8,0.5,2.1,2.7,22.4
